date,BSIN_1,BSOUT_1,BSC_1,BSIN_2,BSOUT_2,BSC_2,BSIN_3,BSOUT_3,BSC_3,BSIN_4,BSOUT_4,BSC_4,BSIN_5,BSOUT_5,BSC_5,BSIN_6,BSOUT_6,BSC_6,BSIN_7,BSOUT_7,BSC_7,BSIN_8,BSOUT_8,BSC_8,BSIN_9,BSOUT_9,BSC_9,BSIN_10,BSOUT_10,BSC_10,BSIN_11,BSOUT_11,BSC_11,BSIN_12,BSOUT_12,BSC_12,BSIN_13,BSOUT_13,BSC_13,BSIN_14,BSOUT_14,BSC_14,BSIN_15,BSOUT_15,BSC_15,BSIN_16,BSOUT_16,BSC_16,BSIN_17,BSOUT_17,BSC_17,BSIN_18,BSOUT_18,BSC_18,BSIN_19,BSOUT_19,BSC_19
05-01-2019,15,0,15,7,1,21,3,0,24,3,3,24,4,0,28,2,0,30,4,0,34,2,0,36,6,2,40,5,0,45,5,0,50,2,0,52,4,0,56,3,0,59,2,45,16,2,8,10,2,5,7,2,0,9,0,9,0
12-01-2019,10,0,10,4,1,13,3,0,16,3,0,19,3,0,22,5,0,27,4,0,31,5,0,36,6,2,40,5,0,45,5,0,50,2,0,52,5,0,57,0,0,57,0,45,12,0,1,11,0,1,10,2,0,12,0,12,0
19-01-2019,9,0,9,7,1,15,4,0,19,2,0,21,5,0,26,4,0,30,4,0,34,1,0,35,6,2,39,5,0,44,6,1,49,2,0,51,5,0,56,3,0,59,2,45,16,4,5,15,0,8,7,2,0,9,0,9,0
26-01-2019,7,0,7,4,1,10,5,0,15,4,0,19,6,0,25,4,0,29,4,0,33,4,0,37,6,2,41,6,0,47,6,4,49,2,0,51,5,1,55,0,0,55,3,45,13,2,6,9,0,1,8,2,0,10,0,10,0
