BSIN_1,BSOUT_1,BSC_1,BSIN_2,BSOUT_2,BSC_2,BSIN_3,BSOUT_3,BSC_3,BSIN_4,BSOUT_4,BSC_4,BSIN_5,BSOUT_5,BSC_5,BSIN_6,BSOUT_6,BSC_6,BSIN_7,BSOUT_7,BSC_7,BSIN_8,BSOUT_8,BSC_8,BSIN_9,BSOUT_9,BSC_9,BSIN_10,BSOUT_10,BSC_10,BSIN_11,BSOUT_11,BSC_11,BSIN_12,BSOUT_12,BSC_12,BSIN_13,BSOUT_13,BSC_13,BSIN_14,BSOUT_14,BSC_14,BSIN_15,BSOUT_15,BSC_15,BSIN_16,BSOUT_16,BSC_16,BSIN_17,BSOUT_17,BSC_17,BSIN_18,BSOUT_18,BSC_18,BSIN_19,BSOUT_19,BSC_19
10,0,10,5,0,15,4,0,19,3,0,22,4,0,26,2,0,28,3,0,31,3,0,34,5,0,39,4,0,43,5,0,48,2,0,50,4,0,54,3,0,57,2,40,19,2,7,14,0,5,9,2,0,11,0,11,0
10,0,10,4,0,14,4,0,18,3,0,21,5,0,26,4,0,30,2,0,32,5,0,37,5,2,40,4,0,44,5,0,49,3,0,52,4,0,56,3,0,59,0,48,11,1,1,11,0,1,10,2,0,12,0,12,0
11,0,11,5,0,16,5,0,21,4,0,25,7,0,32,4,0,36,3,0,39,3,0,42,5,0,47,4,0,51,5,1,55,0,0,55,2,0,57,4,0,61,0,47,14,4,10,8,0,1,7,2,0,9,0,9,0
9,0,9,5,0,14,4,0,18,4,0,22,5,0,27,4,0,31,4,0,35,5,0,40,5,2,43,4,0,47,6,4,49,3,0,52,5,0,57,0,0,57,2,47,12,2,6,8,0,0,8,2,0,10,0,10,0
