date,BSIN_1,BSOUT_1,BSC_1,BSIN_2,BSOUT_2,BSC_2,BSIN_3,BSOUT_3,BSC_3,BSIN_4,BSOUT_4,BSC_4,BSIN_5,BSOUT_5,BSC_5,BSIN_6,BSOUT_6,BSC_6,BSIN_7,BSOUT_7,BSC_7,BSIN_8,BSOUT_8,BSC_8,BSIN_9,BSOUT_9,BSC_9,BSIN_10,BSOUT_10,BSC_10,BSIN_11,BSOUT_11,BSC_11,BSIN_12,BSOUT_12,BSC_12,BSIN_13,BSOUT_13,BSC_13,BSIN_14,BSOUT_14,BSC_14,BSIN_15,BSOUT_15,BSC_15,BSIN_16,BSOUT_16,BSC_16,BSIN_17,BSOUT_17,BSC_17,BSIN_18,BSOUT_18,BSC_18,BSIN_19,BSOUT_19,BSC_19
05-01-2019,9,0,9,4,0,13,3,0,16,3,0,19,4,0,23,2,0,25,1,0,26,2,0,28,5,0,33,3,0,36,5,0,41,2,0,43,4,0,47,1,0,48,2,30,20,0,8,12,0,0,12,3,2,13,0,13,0
12-01-2019,6,0,6,5,0,11,4,0,15,3,0,18,5,0,23,4,0,27,2,0,29,3,0,32,5,0,37,3,0,40,5,0,45,2,0,47,4,0,51,3,0,54,0,40,14,2,1,15,0,1,14,3,2,15,0,15,0
19-01-2019,6,0,6,4,0,10,3,0,13,3,0,16,5,0,21,2,0,23,2,0,25,4,0,29,5,0,34,3,0,37,4,0,41,2,0,43,5,0,48,2,0,50,0,35,15,0,10,5,2,1,6,3,2,7,0,7,0
26-01-2019,5,0,5,3,0,8,3,0,11,2,0,13,4,0,17,4,0,21,2,0,23,4,0,27,4,2,29,3,0,32,5,0,37,3,0,40,5,0,45,0,0,45,2,34,13,2,6,9,0,0,9,3,2,10,0,10,0
