date,BSIN_1,BSOUT_1,BSC_1,BSIN_2,BSOUT_2,BSC_2,BSIN_3,BSOUT_3,BSC_3,BSIN_4,BSOUT_4,BSC_4,BSIN_5,BSOUT_5,BSC_5,BSIN_6,BSOUT_6,BSC_6,BSIN_7,BSOUT_7,BSC_7,BSIN_8,BSOUT_8,BSC_8,BSIN_9,BSOUT_9,BSC_9,BSIN_10,BSOUT_10,BSC_10,BSIN_11,BSOUT_11,BSC_11,BSIN_12,BSOUT_12,BSC_12,BSIN_13,BSOUT_13,BSC_13,BSIN_14,BSOUT_14,BSC_14,BSIN_15,BSOUT_15,BSC_15,BSIN_16,BSOUT_16,BSC_16,BSIN_17,BSOUT_17,BSC_17,BSIN_18,BSOUT_18,BSC_18,BSIN_19,BSOUT_19,BSC_19
05-01-2019,4,0,4,2,0,6,2,0,8,2,0,10,4,0,14,2,0,16,0,0,16,2,0,18,2,0,20,1,0,21,1,0,22,2,2,22,1,0,23,1,0,24,0,10,14,0,5,9,2,0,11,0,0,11,0,11,0
12-01-2019,4,0,4,2,0,6,3,0,9,2,0,11,4,0,15,2,5,12,1,0,13,3,0,16,3,0,19,1,0,20,1,0,21,2,0,23,1,0,24,2,0,26,0,10,16,1,1,16,4,1,19,0,0,19,0,19,0
19-01-2019,4,0,4,2,0,6,2,0,8,1,0,9,1,3,7,1,0,8,0,0,8,1,0,9,2,1,10,1,0,11,1,0,12,2,2,12,3,0,15,2,0,17,0,1,16,0,1,15,0,0,15,0,0,15,0,15,0
26-01-2019,4,0,4,2,0,6,1,0,7,1,0,8,2,0,10,2,0,12,3,0,15,2,1,16,3,0,19,1,0,20,1,0,21,1,2,20,3,0,23,0,0,23,2,0,25,2,1,26,0,8,18,0,0,18,0,18,0
