date,BSIN_1,BSOUT_1,BSC_1,BSIN_2,BSOUT_2,BSC_2,BSIN_3,BSOUT_3,BSC_3,BSIN_4,BSOUT_4,BSC_4,BSIN_5,BSOUT_5,BSC_5,BSIN_6,BSOUT_6,BSC_6,BSIN_7,BSOUT_7,BSC_7,BSIN_8,BSOUT_8,BSC_8,BSIN_9,BSOUT_9,BSC_9,BSIN_10,BSOUT_10,BSC_10,BSIN_11,BSOUT_11,BSC_11,BSIN_12,BSOUT_12,BSC_12,BSIN_13,BSOUT_13,BSC_13,BSIN_14,BSOUT_14,BSC_14,BSIN_15,BSOUT_15,BSC_15,BSIN_16,BSOUT_16,BSC_16,BSIN_17,BSOUT_17,BSC_17,BSIN_18,BSOUT_18,BSC_18,BSIN_19,BSOUT_19,BSC_19
05-01-2019,2,0,2,1,0,3,2,0,5,2,0,7,3,0,10,2,0,12,2,0,14,3,0,17,5,2,20,4,0,24,5,0,29,2,0,31,4,0,35,3,0,38,2,25,15,2,8,9,2,5,6,2,0,8,0,8,0
12-01-2019,2,0,2,6,0,8,2,0,10,2,0,12,4,0,16,3,0,19,4,0,23,4,0,27,5,0,32,4,0,36,5,0,41,2,0,43,5,0,48,3,0,51,0,30,21,0,1,20,0,1,19,2,0,21,0,21,0
19-01-2019,2,0,2,1,0,3,2,0,5,2,0,7,2,0,9,1,0,10,3,0,13,2,0,15,5,2,18,4,0,22,4,0,26,3,0,29,5,0,34,2,0,36,2,22,16,4,5,15,0,8,7,2,0,9,0,9,0
26-01-2019,2,0,2,1,0,3,2,0,5,1,0,6,6,0,12,2,0,14,2,0,16,4,0,20,5,2,23,4,0,27,6,0,33,3,0,36,5,0,41,0,0,41,3,29,15,2,6,11,0,1,10,2,0,12,0,12,0
