date,BSIN_1,BSOUT_1,BSC_1,BSIN_2,BSOUT_2,BSC_2,BSIN_3,BSOUT_3,BSC_3,BSIN_4,BSOUT_4,BSC_4,BSIN_5,BSOUT_5,BSC_5,BSIN_6,BSOUT_6,BSC_6,BSIN_7,BSOUT_7,BSC_7,BSIN_8,BSOUT_8,BSC_8,BSIN_9,BSOUT_9,BSC_9,BSIN_10,BSOUT_10,BSC_10,BSIN_11,BSOUT_11,BSC_11,BSIN_12,BSOUT_12,BSC_12,BSIN_13,BSOUT_13,BSC_13,BSIN_14,BSOUT_14,BSC_14,BSIN_15,BSOUT_15,BSC_15,BSIN_16,BSOUT_16,BSC_16,BSIN_17,BSOUT_17,BSC_17,BSIN_18,BSOUT_18,BSC_18,BSIN_19,BSOUT_19,BSC_19
05-01-2019,5,0,5,5,2,8,3,0,11,3,0,14,4,0,18,2,0,20,0,0,20,3,0,23,4,2,25,2,0,27,4,0,31,2,0,33,3,0,36,1,0,37,0,15,22,0,6,16,2,5,13,0,0,13,0,13,0
12-01-2019,5,0,5,2,2,5,2,0,7,3,0,10,4,0,14,4,0,18,1,3,16,1,0,17,4,0,21,2,0,23,4,0,27,2,0,29,3,0,32,2,0,34,0,25,9,2,1,10,4,1,13,0,0,13,0,13,0
19-01-2019,4,0,4,5,2,7,3,0,10,3,0,13,7,0,20,2,0,22,2,0,24,4,0,28,4,0,32,2,0,34,4,0,38,3,0,41,2,0,43,3,0,46,0,29,17,0,8,9,2,1,10,0,0,10,0,10,0
26-01-2019,4,0,4,4,2,6,3,0,9,2,0,11,2,0,13,2,0,15,2,0,17,2,1,18,5,2,21,2,0,23,4,0,27,3,0,30,2,1,31,0,0,31,2,23,10,2,1,11,0,1,10,0,0,10,0,10,0
